Line,Score,FlashScore,FixFreq,BlockFreq
org.joda.time.Partial#219,1.0,0.4892772041302621,1848,3777
org.joda.time.field.UnsupportedDurationField#228,0.14285714285714285,0.5411590992986341,7330,13545
org.joda.time.field.UnsupportedDurationField#227,0.14285714285714285,0.40319258496395466,783,1942
org.joda.time.field.UnsupportedDurationField#32,0.14285714285714285,0.0,0,0
org.joda.time.DurationFieldType#286,0.1,0.0,0,0
org.joda.time.chrono.GJEraDateTimeField#136,0.09090909090909091,0.5411590992986341,7330,13545
org.joda.time.chrono.GJEraDateTimeField#140,0.09090909090909091,0.5411590992986341,7330,13545
org.joda.time.DateTimeFieldType#484,0.043478260869565216,0.0,0,0
org.joda.time.Partial#176,0.014084507042253521,0.0,0,0
org.joda.time.Partial#175,0.012987012987012988,0.5962059620596206,220,369
org.joda.time.field.BaseDurationField#153,0.010101010101010102,0.5411590992986341,7330,13545
org.joda.time.Partial#218,0.0070921985815602835,0.2770012706480305,1962,7083
org.joda.time.Partial#217,0.0070921985815602835,0.2169397645972767,1880,8666
org.joda.time.Partial#221,0.0070921985815602835,0.0,0,1
org.joda.time.Partial#250,0.006622516556291391,0.16488845780795344,170,1031
org.joda.time.Partial#251,0.006622516556291391,0.0,0,0
org.joda.time.Partial#249,0.006578947368421052,0.14893617021276595,14,94
org.joda.time.Partial#248,0.006578947368421052,0.041666666666666664,1,24
org.joda.time.Partial#245,0.006535947712418301,0.1432896064581231,142,991
org.joda.time.Partial#214,0.006535947712418301,0.12577241899020347,1669,13270
org.joda.time.Partial#215,0.006535947712418301,0.10790598290598291,303,2808
org.joda.time.Partial#216,0.006535947712418301,0.08458646616541353,45,532
org.joda.time.Partial#213,0.006535947712418301,0.03571428571428571,1,28
org.joda.time.Partial#212,0.006535947712418301,0.0,0,13
org.joda.time.Partial#208,0.006493506493506494,0.5956638902498775,4863,8164
org.joda.time.Partial#207,0.006493506493506494,0.2,1,5
org.joda.time.Partial#202,0.0064516129032258064,0.125,2,16
org.joda.time.Partial#199,0.00641025641025641,0.039647577092511016,99,2497
org.joda.time.Partial#335,0.006369426751592357,0.5411590992986341,7330,13545
org.joda.time.Partial#196,0.006369426751592357,0.04631956912028725,129,2785
org.joda.time.Partial#190,0.006329113924050633,0.11378353376503238,123,1081
org.joda.time.Partial#191,0.006329113924050633,0.10714285714285714,36,336
org.joda.time.Partial#192,0.006329113924050633,0.0641025641025641,10,156
org.joda.time.Partial#193,0.006329113924050633,0.05172413793103448,21,406
org.joda.time.Partial#323,0.006211180124223602,0.5411590992986341,7330,13545
org.joda.time.Partial#311,0.006172839506172839,0.5411590992986341,7330,13545
org.joda.time.DurationFieldType#292,0.004545454545454545,0.0,0,0
org.joda.time.DateTimeFieldType#378,0.0034129692832764505,0.5411590992986341,7330,13545
org.joda.time.chrono.BasicMonthOfYearDateTimeField#340,0.003278688524590164,0.5411590992986341,7330,13545
org.joda.time.chrono.BasicMonthOfYearDateTimeField#345,0.003257328990228013,0.5411590992986341,7330,13545
org.joda.time.field.BaseDurationField#155,0.002331002331002331,0.5411590992986341,7330,13545
org.joda.time.field.BaseDurationField#38,0.002331002331002331,0.0,0,0
org.joda.time.field.BaseDurationField#152,0.002320185614849188,0.20066889632107024,780,3887
org.joda.time.field.BaseDurationField#149,0.002320185614849188,0.12625698324022347,339,2685
org.joda.time.field.BaseDurationField#146,0.002320185614849188,0.12577241899020347,1669,13270
org.joda.time.field.BaseDurationField#147,0.002320185614849188,0.11617312072892938,510,4390
org.joda.time.chrono.GregorianChronology#132,0.0020964360587002098,0.3197424892703863,894,2796
org.joda.time.chrono.GregorianChronology#131,0.0020964360587002098,0.19449609520267758,523,2689
org.joda.time.DurationFieldType#294,0.0019646365422396855,0.0,0,0
org.joda.time.DurationFieldType#298,0.001841620626151013,0.0,0,0
org.joda.time.field.BaseDateTimeField#818,0.0016611295681063123,0.5411590992986341,7330,13545
org.joda.time.field.BaseDateTimeField#804,0.001658374792703151,0.5411590992986341,7330,13545
org.joda.time.chrono.BaseChronology#213,0.001652892561983471,0.0,0,0
org.joda.time.chrono.BaseChronology#199,0.0016501650165016502,0.38333333333333336,23,60
org.joda.time.chrono.BaseChronology#207,0.0016501650165016502,0.20066889632107024,780,3887
org.joda.time.chrono.BaseChronology#202,0.0016501650165016502,0.12625698324022347,339,2685
org.joda.time.chrono.BaseChronology#200,0.0016501650165016502,0.12577241899020347,1669,13270
org.joda.time.chrono.BaseChronology#201,0.0016501650165016502,0.11617312072892938,510,4390
org.joda.time.field.BaseDateTimeField#758,0.0016474464579901153,0.5411590992986341,7330,13545
org.joda.time.field.BaseDateTimeField#772,0.0016474464579901153,0.5411590992986341,7330,13545
org.joda.time.chrono.BaseChronology#192,0.0016474464579901153,0.20066889632107024,780,3887
org.joda.time.chrono.BaseChronology#187,0.0016420361247947454,0.12625698324022347,339,2685
org.joda.time.chrono.BaseChronology#185,0.0016420361247947454,0.12577241899020347,1669,13270
org.joda.time.chrono.BaseChronology#186,0.0016420361247947454,0.11617312072892938,510,4390
org.joda.time.chrono.BaseChronology#184,0.0016420361247947454,0.1111111111111111,2,18
org.joda.time.chrono.BaseChronology#183,0.0016420361247947454,0.08349900596421471,42,503
org.joda.time.base.AbstractPartial#105,0.0015552099533437014,0.5411590992986341,7330,13545
org.joda.time.DurationFieldType#282,0.0012738853503184713,0.0,0,1
org.joda.time.DurationFieldType#284,0.0012738853503184713,0.0,0,2
org.joda.time.DateTimeFieldType#496,0.0012077294685990338,0.0,0,0
org.joda.time.DateTimeFieldType#492,0.0011862396204033216,0.0,0,0
org.joda.time.chrono.GregorianChronology#171,9.000900090009E-4,0.5411590992986341,7330,13545
org.joda.time.DateTimeFieldType#480,8.071025020177562E-4,0.0,0,1
org.joda.time.DateTimeFieldType#482,8.071025020177562E-4,0.0,0,2
org.joda.time.chrono.ISOChronology#102,7.507507507507507E-4,0.5411590992986341,7330,13545
org.joda.time.DateTimeUtils#285,6.693440428380187E-4,0.5411590992986341,7330,13545
org.joda.time.base.AbstractPartial#54,6.337135614702154E-4,0.4457831325301205,333,747
org.joda.time.base.AbstractPartial#55,6.337135614702154E-4,0.0,0,0
org.joda.time.chrono.BasicYearDateTimeField#116,6.031363088057901E-4,0.5411590992986341,7330,13545
org.joda.time.field.OffsetDateTimeField#166,5.757052389176742E-4,0.5411590992986341,7330,13545
org.joda.time.field.DividedDateTimeField#131,5.675368898978433E-4,0.13870205417196874,763,5501
org.joda.time.chrono.AssembledChronology#108,4.992511233150275E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.AssembledChronology#107,4.992511233150275E-4,0.24615921787709497,705,2864
org.joda.time.chrono.GregorianChronology#221,4.6040515653775324E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ISOChronology#77,4.5998160073597056E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ISOChronology#86,4.5433893684688776E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ISOChronology#108,3.8211692777990065E-4,0.23411978221415608,516,2204
org.joda.time.chrono.ISOChronology#107,3.8211692777990065E-4,0.2156153050672182,417,1934
org.joda.time.chrono.ISOChronology#106,3.652300949598247E-4,0.290468133107727,515,1773
org.joda.time.chrono.ISOChronology#105,3.652300949598247E-4,0.20772058823529413,339,1632
org.joda.time.chrono.ISOChronology#96,3.652300949598247E-4,0.11630526612221909,413,3551
org.joda.time.chrono.ISOChronology#112,3.652300949598247E-4,0.08760330578512397,53,605
org.joda.time.chrono.ISOChronology#99,3.652300949598247E-4,0.0781483325037332,157,2009
org.joda.time.chrono.ISOChronology#100,3.652300949598247E-4,0.02645985401459854,29,1096
org.joda.time.chrono.ISOChronology#101,3.652300949598247E-4,0.0,0,3
org.joda.time.chrono.ISOChronology#104,3.652300949598247E-4,0.0,0,0
org.joda.time.chrono.ISOChronology#110,3.652300949598247E-4,0.0,0,0
org.joda.time.chrono.ISOChronology#111,3.652300949598247E-4,0.0,0,0
org.joda.time.field.DividedDateTimeField#129,3.5001750087504374E-4,0.5411590992986341,7330,13545
org.joda.time.DateTimeUtils#548,3.489183531053733E-4,0.506224593495935,3985,7872
org.joda.time.DateTimeUtils#114,3.489183531053733E-4,0.2633204633204633,341,1295
org.joda.time.DateTimeUtils#115,3.489183531053733E-4,0.17493297587131368,261,1492
org.joda.time.DateTimeUtils#116,3.489183531053733E-4,0.0,0,0
org.joda.time.DateTimeUtils#547,3.489183531053733E-4,0.0,0,0
org.joda.time.DateTimeUtils#549,3.489183531053733E-4,0.0,0,0
org.joda.time.DateTimeUtils#162,3.485535029627048E-4,0.2770012706480305,1962,7083
org.joda.time.DateTimeUtils#100,3.485535029627048E-4,0.2633204633204633,341,1295
org.joda.time.DateTimeUtils#161,3.485535029627048E-4,0.2169397645972767,1880,8666
org.joda.time.DateTimeUtils#101,3.485535029627048E-4,0.17493297587131368,261,1492
org.joda.time.DateTimeUtils#102,3.485535029627048E-4,0.0,0,0
org.joda.time.DateTimeUtils#165,3.485535029627048E-4,0.0,0,0
org.joda.time.DateTimeUtils#287,3.4674063800277393E-4,0.13870205417196874,763,5501
org.joda.time.chrono.GJEraDateTimeField#128,3.341129301703976E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.GJEraDateTimeField#132,3.341129301703976E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ISOChronology#133,3.3112582781456954E-4,0.5411590992986341,7330,13545
org.joda.time.DateTimeZone#179,3.3003300330033004E-4,1.0,8,8
org.joda.time.DateTimeZone#183,3.3003300330033004E-4,0.506224593495935,3985,7872
org.joda.time.DateTimeZone#182,3.3003300330033004E-4,0.2916666666666667,14,48
org.joda.time.DateTimeZone#175,3.3003300330033004E-4,0.10662784248474765,769,7212
org.joda.time.DateTimeZone#176,3.3003300330033004E-4,0.08804347826086957,81,920
org.joda.time.DateTimeZone#184,3.3003300330033004E-4,0.0,0,0
org.joda.time.DateTimeZone#185,3.3003300330033004E-4,0.0,0,0
org.joda.time.tz.CachedDateTimeZone#123,3.284072249589491E-4,0.5411590992986341,7330,13545
org.joda.time.DateTimeZone#1273,3.237293622531564E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ZonedChronology#71,3.2362459546925567E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ZonedChronology#85,3.2362459546925567E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ZonedChronology#198,3.2362459546925567E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ZonedChronology#201,3.2362459546925567E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ZonedChronology#295,3.2362459546925567E-4,0.5411590992986341,7330,13545
org.joda.time.field.UnsupportedDurationField#218,3.2362459546925567E-4,0.5411590992986341,7330,13545
org.joda.time.chrono.ZonedChronology#81,3.2362459546925567E-4,0.4457831325301205,333,747
org.joda.time.chrono.ZonedChronology#193,3.2362459546925567E-4,0.26100998238402817,889,3406
org.joda.time.chrono.ZonedChronology#287,3.2362459546925567E-4,0.26100998238402817,889,3406
org.joda.time.chrono.ZonedChronology#413,3.2362459546925567E-4,0.26100998238402817,889,3406
org.joda.time.chrono.ZonedChronology#62,3.2362459546925567E-4,0.22118380062305296,284,1284
org.joda.time.chrono.ZonedChronology#281,3.2362459546925567E-4,0.1689497716894977,37,219
org.joda.time.chrono.ZonedChronology#404,3.2362459546925567E-4,0.1689497716894977,37,219
org.joda.time.chrono.ZonedChronology#204,3.2362459546925567E-4,0.14870509607351712,178,1197
org.joda.time.chrono.ZonedChronology#220,3.2362459546925567E-4,0.14870509607351712,178,1197
org.joda.time.chrono.ZonedChronology#203,3.2362459546925567E-4,0.14516129032258066,63,434
org.joda.time.chrono.ZonedChronology#215,3.2362459546925567E-4,0.14516129032258066,63,434
org.joda.time.chrono.ZonedChronology#205,3.2362459546925567E-4,0.13705583756345177,918,6698
org.joda.time.chrono.ZonedChronology#221,3.2362459546925567E-4,0.13705583756345177,918,6698
org.joda.time.chrono.ZonedChronology#197,3.2362459546925567E-4,0.1189482470784641,285,2396
org.joda.time.chrono.ZonedChronology#209,3.2362459546925567E-4,0.1189482470784641,285,2396
org.joda.time.chrono.ZonedChronology#200,3.2362459546925567E-4,0.1185064935064935,73,616
org.joda.time.chrono.ZonedChronology#212,3.2362459546925567E-4,0.1185064935064935,73,616
org.joda.time.chrono.ZonedChronology#65,3.2362459546925567E-4,0.1136085626911315,743,6540
org.joda.time.chrono.ZonedChronology#154,3.2362459546925567E-4,0.10534351145038168,69,655
org.joda.time.chrono.ZonedChronology#55,3.2362459546925567E-4,0.10419681620839363,72,691
org.joda.time.chrono.ZonedChronology#156,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#157,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#158,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#159,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#160,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#162,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#163,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#164,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#165,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#166,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#170,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#171,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#172,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#173,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#174,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#175,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#176,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#177,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#178,3.2362459546925567E-4,0.0875395181510956,803,9173
org.joda.time.chrono.ZonedChronology#179,3.2362459546925567E-4,0.0875395181510956,803,9173
